city,date,email,domain,region,sectors,education,job_title,experience,company_name,specialization
الرياض,2024-11-01,naif@brandhouseadv.com,brandhouseadv.com,منطقة الرياض,['التسويق والعلاقات العامة'],بكالوريوس/ دبلوم,أخصائي تسويق,حديثي التخرج,شركة براند هاوس,اخرى
جدة,2024-11-01,jobs2023@irc.sa,irc.sa,منطقة مكة المكرمة,['التجزئة والمبيعات المباشرة'],غير محدد,مسؤولة تسويق ومبيعات,خبرة سابقة في مجال التسويق أو المبيعات,صالون نسائي,اخرى
الرياض,2024-11-01,hiring@keytime.sa,keytime.sa,منطقة الرياض,['التجزئة والمبيعات المباشرة'],دبلوم فأعلى,مدير حساب عملاء,خبرة لا تقل عن 3 سنوات,شركة Keytime,اخرى
الرياض,2024-11-01,Jobs@arabianoud.com.sa,arabianoud.com.sa,منطقة الرياض,['التجزئة والمبيعات المباشرة'],ثانوي,عاملة انتاج,غير محدد,مصنع نسائي,اخرى
جدة,2024-11-01,irec.irec.a@gmail.com,gmail.com,منطقة مكة المكرمة,['الخدمات اللوجستية والأمنية'],غير محدد,فني سحب عينات ميداني,خبرة سنة على الأقل,مشروع محطة تنقية المياه,اخرى
جدة,2024-11-01,hireprohub@gmail.com,gmail.com,منطقة مكة المكرمة,['الرعاية الصحية والخدمات الطبية'],بكالوريوس,مدير القطاع الطبي,خبرة لا تقل عن 10 سنوات,غير محدد,اخرى
جدة,2024-11-01,job123@sigmaksa.com,sigmaksa.com,منطقة مكة المكرمة,['التجزئة والمبيعات المباشرة'],غير محدد,منسق عمليات,خبرة في نفس المجال,شركة كبرى,اخرى
جدة,2024-11-01,irec.irec.a@gmail.com,gmail.com,منطقة مكة المكرمة,['البيئة والاستدامة'],بكالوريوس,معد تقارير بيئية - ادارة جودة الهواء,غير محدد,شركة رائدة في المجال البيئي,اخرى
جدة,2024-11-01,Jobs@kian-d.com,kian-d.com,منطقة مكة المكرمة,['القطاع المالي والمحاسبي'],بكالوريوس,مدير مالي,خبرة لا تقل عن 7 سنوات,غير محدد,اخرى
جدة,2024-11-01,hr@hireksa.com,hireksa.com,منطقة مكة المكرمة,['الإدارة والدعم الإداري'],غير محدد,موظف إداري,خبرة من سنة إلى سنتين,شركة روز,اخرى
الرياض,2024-11-01,recruitt.email@gmail.com,gmail.com,منطقة الرياض,['الإدارة والدعم الإداري'],مؤهل عملي مناسب,سكرتير,0-2 سنتين,غير محدد,اخرى
الخرج,2024-11-01,HR.salleh4@gmail.com,gmail.com,منطقة الرياض,['قطاع العقارات والمقاولات'],بكالوريوس,المشتريات,غير محدد,مصنع في المدينة الصناعية بالخرج,اخرى
الرياض,2024-11-01,Jobs@arabianoud.com.sa,arabianoud.com.sa,منطقة الرياض,['التجزئة والمبيعات المباشرة'],ثانوي,عاملة انتاج,غير محدد,مصنع نسائي,اخرى
الرياض,2024-11-01,esnadmaharah@gmail.com,gmail.com,منطقة الرياض,['التجزئة والمبيعات المباشرة'],غير محدد,مندوب مبيعات,خبرة لا تقل عن سنة,أحد أكبر البنوك السعودية,اخرى
الرياض,2024-11-01,jobway.hiring.ksa@gmail.com,gmail.com,منطقة الرياض,['الرعاية الصحية والخدمات الطبية'],غير محدد,طبيب زراعة اسنان,10 سنوات,شركة جوب واي للتوظيف الطبي,اخرى
الرياض,2024-11-01,jobway.hiring.ksa@gmail.com,gmail.com,منطقة الرياض,['الخدمات القانونية والاستشارية'],غير محدد,رئيس حسابات,خبرة لا تقل عن سنتين,شركة جوب واي للتوظيف الطبي,اخرى
الرياض,2024-11-01,jobway.hiring.ksa@gmail.com,gmail.com,منطقة الرياض,['الرعاية الصحية والخدمات الطبية'],غير محدد,طبيب/ة نفسي,خبرة لا تقل عن سنتين في التخصص,شركة جوب واي للتوظيف الطبي,اخرى
نجران,2024-11-01,jobway.hiring.ksa@gmail.com,gmail.com,منطقة نجران,['الرعاية الصحية والخدمات الطبية'],غير محدد,تمريض اناث,خبرة لا تقل عن سنتين في التخصص,شركة جوب واي للتوظيف الطبي,اخرى
جدة,2024-11-01,jobway.hiring.ksa@gmail.com,gmail.com,منطقة مكة المكرمة,['الرعاية الصحية والخدمات الطبية'],غير محدد,تمريض اناث,خبرة لا تقل عن سنتين في التخصص,شركة جوب واي للتوظيف الطبي,اخرى
جدة,2024-11-01,jobway.hiring.ksa@gmail.com,gmail.com,منطقة مكة المكرمة,['الرعاية الصحية والخدمات الطبية'],غير محدد,تمريض ذكور واناث - اخصائ/ة تغذية,خبرة لا تقل عن سنتين في التخصص,شركة جوب واي للتوظيف الطبي,اخرى
الرياض,2024-11-01,jobway.hiring.ksa@gmail.com,gmail.com,منطقة الرياض,['الرعاية الصحية والخدمات الطبية'],غير محدد,اخصائية اشعة / اخصائية تمريض / اطباء جلدية / اطباء اطفال / اخصائي انف واذن / مسوقة طبية,خبرة لا تقل عن سنتين في التخصص,شركة جوب واي للتوظيف الطبي,اخرى
غير محدد,2024-11-01,jobway.hiring.ksa@gmail.com,gmail.com,غير محدد,['الرعاية الصحية والخدمات الطبية'],غير محدد,اخصائي/ة وجه وفكين,خبرة لا تقل عن سنتين في التخصص,شركة جوب واي للتوظيف الطبي,اخرى
الدمام,2024-11-01,jobway.hiring.ksa@gmail.com,gmail.com,منطقة الرياض,['الرعاية الصحية والخدمات الطبية'],غير محدد,نائب طوارئ,خبرة لا تقل عن سنتين في التخصص,شركة جوب واي للتوظيف الطبي,اخرى
جدة,2024-11-01,tele2030jpc@gmail.com,gmail.com,منطقة مكة المكرمة,['التسويق والعلاقات العامة'],غير محدد,صانعة و كاتبة محتوى ابداعي للسوشال ميديا,لديهم خبرة,شركة دعاية و اعلان,اخرى
